,Model,Details,Accuracy,Recall,Precision,F1 Score,5-Fold Cross Validation
0,HistGradientBoostingClassifier,"max_depth=5, learning_rate=0.1",0.953,0.953,0.952,0.952,0.957
1,HistGradientBoostingClassifier,"max_depth=15, learning_rate=0.1",0.946,0.946,0.945,0.946,0.956
2,VotingClassifier,Soft,0.944,0.944,0.942,0.942,0.955
3,HistGradientBoostingClassifier,"max_depth=20, learning_rate=0.1",0.946,0.946,0.945,0.946,0.955
4,HistGradientBoostingClassifier,"max_depth=10, learning_rate=0.1",0.948,0.948,0.948,0.948,0.955
5,VotingClassifier,Hard,0.946,0.946,0.945,0.944,0.952
6,AdaBoostClassifier,"n_estimators=15, max_depth=15",0.939,0.939,0.937,0.938,0.946
7,GradientBoostingClassifier,"n_estimators=30, learning_rate=0.1",0.941,0.941,0.94,0.938,0.945
8,AdaBoostClassifier,"n_estimators=100, max_depth=100",0.932,0.932,0.93,0.93,0.938
9,StackingClassifier,"Gradient, Ada, RandomForest",0.939,0.939,0.937,0.936,0.937
10,AdaBoostClassifier,"n_estimators=10, max_depth=10",0.927,0.927,0.926,0.926,0.937
11,Random Forest,n_estimators=20,0.925,0.925,0.922,0.923,0.935
12,GradientBoostingClassifier,"n_estimators=15, learning_rate=0.1",0.932,0.932,0.932,0.928,0.934
13,Random Forest,n_estimators=15,0.932,0.932,0.93,0.93,0.933
14,Decision Tree,max_depth=15,0.934,0.934,0.935,0.934,0.93
15,Decision Tree,max_depth=20,0.927,0.927,0.927,0.927,0.93
16,Random Forest,n_estimators=10,0.92,0.92,0.917,0.917,0.927
17,Decision Tree,max_depth=10,0.925,0.925,0.922,0.923,0.925
18,GradientBoostingClassifier,"n_estimators=10, learning_rate=0.1",0.927,0.927,0.929,0.922,0.922
19,Random Forest,n_estimators=5,0.904,0.904,0.899,0.9,0.921
20,Decision Tree,max_depth=5,0.918,0.918,0.916,0.912,0.92
21,AdaBoostClassifier,"n_estimators=5, max_depth=5",0.92,0.92,0.919,0.919,0.918
22,SVM,kernel=poly,0.911,0.911,0.911,0.909,0.915
23,K Neighrest Neighbors,"k=5, weight=distance",0.908,0.908,0.906,0.906,0.913
24,K Neighrest Neighbors,"k=10, weight=distance",0.897,0.897,0.893,0.894,0.902
25,SVM,kernel=rbf,0.904,0.904,0.901,0.9,0.901
26,K Neighrest Neighbors,"k=5, weight=uniform",0.892,0.892,0.888,0.888,0.899
27,SVM,kernel=linear,0.892,0.892,0.887,0.888,0.895
28,K Neighrest Neighbors,"k=10, weight=uniform",0.883,0.883,0.876,0.875,0.892
29,Logistic Regression,l2 regurlization,0.878,0.878,0.872,0.874,0.889
30,Logistic Regression,l1 regurlization,0.885,0.885,0.88,0.882,0.888
31,GradientBoostingClassifier,"n_estimators=5, learning_rate=0.1",0.876,0.876,0.889,0.856,0.874
32,Naive Bayes,Complement,0.798,0.798,0.852,0.815,0.843
33,Naive Bayes,Bernoulli,0.838,0.838,0.845,0.838,0.835
34,Naive Bayes,Gaussian,0.73,0.73,0.864,0.763,0.797
35,Naive Bayes,Multinomial,0.805,0.805,0.784,0.75,0.745
36,SVM,kernel=sigmoid,0.636,0.636,0.601,0.617,0.651
37,Naive Bayes,Categorical,0.77,0.77,0.715,0.69,
