,Model,Details,Accuracy,Recall,Precision,F1 Score,5-Fold Cross Validation
0,HistGradientBoostingClassifier,"max_depth=20, learning_rate=0.1",0.941,0.941,0.941,0.941,0.984
1,HistGradientBoostingClassifier,"max_depth=15, learning_rate=0.1",0.941,0.941,0.941,0.941,0.984
2,HistGradientBoostingClassifier,"max_depth=10, learning_rate=0.1",0.937,0.937,0.936,0.936,0.984
3,HistGradientBoostingClassifier,"max_depth=5, learning_rate=0.1",0.946,0.946,0.944,0.945,0.982
4,StackingClassifier,"Gradient, Ada, RandomForest",0.934,0.934,0.932,0.933,0.98
5,VotingClassifier,Soft,0.941,0.941,0.941,0.941,0.98
6,VotingClassifier,Hard,0.941,0.941,0.941,0.941,0.979
7,Random Forest,max_depth=20,0.939,0.939,0.939,0.939,0.978
8,Random Forest,max_depth=15,0.937,0.937,0.936,0.936,0.977
9,AdaBoostClassifier,"n_estimators=10, max_depth=10",0.923,0.923,0.922,0.922,0.977
10,Random Forest,max_depth=10,0.92,0.92,0.921,0.921,0.974
11,AdaBoostClassifier,"n_estimators=15, max_depth=15",0.939,0.939,0.939,0.939,0.967
12,AdaBoostClassifier,"n_estimators=20, max_depth=20",0.939,0.939,0.938,0.939,0.966
13,K Neighrest Neighbors,"k=5, weight=distance",0.885,0.885,0.904,0.892,0.964
14,Random Forest,max_depth=5,0.93,0.93,0.93,0.93,0.964
15,Decision Tree,max_depth=20,0.913,0.913,0.917,0.915,0.956
16,K Neighrest Neighbors,"k=5, weight=uniform",0.876,0.876,0.902,0.884,0.954
17,K Neighrest Neighbors,"k=10, weight=distance",0.876,0.876,0.902,0.884,0.953
18,Decision Tree,max_depth=15,0.92,0.92,0.923,0.921,0.953
19,Decision Tree,max_depth=10,0.915,0.915,0.917,0.916,0.951
20,GradientBoostingClassifier,"n_estimators=30, learning_rate=0.1",0.904,0.904,0.913,0.907,0.95
21,SVM,kernel=rbf,0.873,0.873,0.901,0.882,0.948
22,K Neighrest Neighbors,"k=10, weight=uniform",0.876,0.876,0.903,0.884,0.944
23,SVM,kernel=poly,0.859,0.859,0.901,0.872,0.936
24,GradientBoostingClassifier,"n_estimators=15, learning_rate=0.1",0.869,0.869,0.892,0.876,0.931
25,GradientBoostingClassifier,"n_estimators=10, learning_rate=0.1",0.864,0.864,0.889,0.872,0.927
26,GradientBoostingClassifier,"n_estimators=5, learning_rate=0.1",0.859,0.859,0.888,0.869,0.919
27,AdaBoostClassifier,"n_estimators=5, max_depth=5",0.864,0.864,0.867,0.865,0.917
28,Decision Tree,max_depth=5,0.89,0.89,0.898,0.893,0.903
29,SVM,kernel=linear,0.871,0.871,0.897,0.88,0.903
30,Logistic Regression,l2 regurlization,0.852,0.852,0.882,0.862,0.892
31,Logistic Regression,l1 regurlization,0.857,0.857,0.891,0.867,0.882
32,SVM,kernel=sigmoid,0.756,0.756,0.83,0.778,0.767
33,Naive Bayes,Gaussian,0.735,0.735,0.862,0.767,0.763
34,Naive Bayes,Bernoulli,0.697,0.697,0.834,0.729,0.752
