,Model,Details,Accuracy,Recall,Precision,F1 Score,5-Fold Cross Validation
0,HistGradientBoostingClassifier,"max_depth=20, learning_rate=0.1",0.941,0.941,0.941,0.941,0.984
1,HistGradientBoostingClassifier,"max_depth=15, learning_rate=0.1",0.941,0.941,0.941,0.941,0.984
2,HistGradientBoostingClassifier,"max_depth=10, learning_rate=0.1",0.937,0.937,0.936,0.936,0.984
3,HistGradientBoostingClassifier,"max_depth=5, learning_rate=0.1",0.946,0.946,0.944,0.945,0.982
4,VotingClassifier,Hard,0.941,0.941,0.941,0.941,0.981
5,StackingClassifier,"Gradient, Ada, RandomForest",0.937,0.937,0.936,0.936,0.978
6,VotingClassifier,Soft,0.946,0.946,0.945,0.945,0.978
7,AdaBoostClassifier,"n_estimators=10, max_depth=10",0.925,0.925,0.922,0.923,0.978
8,Random Forest,max_depth=20,0.939,0.939,0.939,0.939,0.978
9,Random Forest,max_depth=15,0.937,0.937,0.936,0.936,0.977
10,Random Forest,max_depth=10,0.92,0.92,0.921,0.921,0.974
11,AdaBoostClassifier,"n_estimators=15, max_depth=15",0.941,0.941,0.941,0.941,0.967
12,AdaBoostClassifier,"n_estimators=20, max_depth=20",0.93,0.93,0.93,0.93,0.966
13,K Neighrest Neighbors,"k=5, weight=distance",0.897,0.897,0.909,0.901,0.965
14,Random Forest,max_depth=5,0.932,0.932,0.932,0.932,0.964
15,K Neighrest Neighbors,"k=10, weight=distance",0.885,0.885,0.91,0.893,0.956
16,K Neighrest Neighbors,"k=5, weight=uniform",0.885,0.885,0.909,0.893,0.954
17,Decision Tree,max_depth=10,0.915,0.915,0.916,0.916,0.951
18,Decision Tree,max_depth=15,0.911,0.911,0.914,0.912,0.951
19,Decision Tree,max_depth=20,0.915,0.915,0.917,0.916,0.951
20,GradientBoostingClassifier,"n_estimators=30, learning_rate=0.1",0.904,0.904,0.913,0.907,0.951
21,SVM,kernel=poly,0.883,0.883,0.904,0.89,0.943
22,K Neighrest Neighbors,"k=10, weight=uniform",0.871,0.871,0.895,0.879,0.941
23,GradientBoostingClassifier,"n_estimators=15, learning_rate=0.1",0.869,0.869,0.892,0.876,0.931
24,GradientBoostingClassifier,"n_estimators=10, learning_rate=0.1",0.864,0.864,0.889,0.872,0.927
25,SVM,kernel=rbf,0.857,0.857,0.893,0.868,0.925
26,GradientBoostingClassifier,"n_estimators=5, learning_rate=0.1",0.859,0.859,0.888,0.869,0.919
27,AdaBoostClassifier,"n_estimators=5, max_depth=5",0.862,0.862,0.866,0.863,0.918
28,Decision Tree,max_depth=5,0.892,0.892,0.899,0.895,0.903
29,SVM,kernel=linear,0.845,0.845,0.886,0.857,0.887
30,Logistic Regression,l2 regurlization,0.847,0.847,0.883,0.858,0.881
31,Logistic Regression,l1 regurlization,0.85,0.85,0.885,0.861,0.88
32,Naive Bayes,Gaussian,0.742,0.742,0.863,0.773,0.765
33,Naive Bayes,Multinomial,0.749,0.749,0.848,0.777,0.758
34,Naive Bayes,Complement,0.714,0.714,0.835,0.746,0.74
35,Naive Bayes,Bernoulli,0.718,0.718,0.812,0.746,0.715
36,SVM,kernel=sigmoid,0.474,0.474,0.71,0.551,0.471
