,Model,Details,Root Mean Squared Error (RMSE),R-squared (training),R-squared (test),5-Fold Cross Validation
0,Voting Regressor,"HisGradBoost, GradBoost, Adaboost",114393.351,0.967,0.898,0.887
1,HisGradientBoosting,"max_depth=15, lr=0.1",113807.524,0.93,0.899,0.881
2,HisGradientBoosting,"max_depth=20, lr=0.1",115041.598,0.929,0.897,0.881
3,HisGradientBoosting,"max_depth=10, lr=0.1",116016.833,0.925,0.895,0.88
4,GradientBoosting,"n_estimators = 100, max_depth=10, lr=0.1",118204.527,0.992,0.891,0.88
5,GradientBoosting,"n_estimators = 50, max_depth=10, lr=0.1",119276.702,0.986,0.889,0.879
6,HisGradientBoosting,"max_depth=5, lr=0.1",117198.199,0.915,0.893,0.876
7,Stacking Regressor,"Histogram Gradient Boosting, Gradient Boosting, Ada Boosting",120199.832,0.937,0.887,0.873
8,GradientBoosting,"n_estimators = 20, max_depth=10, lr=0.1",131506.114,0.952,0.865,0.858
9,Ada boost with Decision Tree,"n_estimators = 50, max_depth=10, min_split=100,min_leaf=50",130872.224,0.935,0.858,0.852
10,Ada boost with Decision Tree,"n_estimators = 100, max_depth=10, min_split=100,min_leaf=50",134869.727,0.929,0.858,0.843
11,Stacking Regressor,"Decision Tree, Lasso, Ridge, Random Forest",134116.607,0.877,0.86,0.841
12,Ada boost with Decision Tree,"n_estimators = 200, max_depth=10, min_split=100,min_leaf=50",136764.842,0.925,0.854,0.841
13,Random Forest,"n_estimators = 50, max_depth=10,min_split=10,min_leaf=10",134842.589,0.886,0.858,0.837
14,Random Forest,"n_estimators = 100, max_depth=15,min_split=20,min_leaf=15",134297.366,0.879,0.859,0.835
15,Ada boost with Decision Tree,"n_estimators = 10, max_depth=10, min_split=100,min_leaf=50",133785.458,0.918,0.861,0.834
16,Random Forest,"n_estimators = 200, max_depth=20,min_split=40,min_leaf=20",138049.454,0.862,0.852,0.823
17,Polynomial Regression,"degree=2, all features, no preprocessing",151169.202,0.83,0.822,0.813
18,Voting Regressor,"Decision Tree, Lasso, Ridge, Random Forest",147233.9,0.838,0.831,0.811
19,Polynomial Ridge Regression,"alpha=50000, degree=2, all features",159872.571,0.81,0.801,0.791
20,Polynomial Lasso Regression,"alpha=50000, degree=2, all features",166020.484,0.797,0.785,0.779
21,Polynomial Lasso Regression,"alpha=1, degree=2, all features",166195.984,0.807,0.785,0.778
22,Decision Tree,"max_depth=10,min_split=20,min_leaf=15",152073.613,0.845,0.82,0.774
23,Decision Tree,"max_depth=15,min_split=40,min_leaf=20 ",159225.119,0.847,0.802,0.77
24,GradientBoosting,"n_estimators = 10, max_depth=10, lr=0.1",174997.503,0.829,0.761,0.755
25,Random Forest,"n_estimators = 10,max_depth=5,min_split=5,min_leaf=5",166426.252,0.795,0.495,0.754
26,Polynomial Regression,"degree=2, selected features, no preprocessing",191862.766,0.728,0.713,0.714
27,Multiple Regression-4,all features,191879.55,0.701,0.713,0.698
28,Lasso Regression,"alpha=1, all features",191880.918,0.701,0.713,0.698
29,Lasso Regression,"alpha=100, all features",192060.144,0.701,0.713,0.698
30,Ridge Regression,"alpha=1, all features",191903.548,0.701,0.713,0.698
31,Multiple Regression-3,"all features, no preprocessing",193693.989,0.698,0.708,0.695
32,Lasso Regression,"alpha=1000, all features",193587.943,0.697,0.708,0.695
33,Ridge Regression,"alpha=100, all features",195372.495,0.694,0.703,0.691
34,Decision Tree,"max_depth=5,min_split=10,min_leaf=10",191277.602,0.74,0.715,0.685
35,Ridge Regression,"alpha=1000, all features",209625.468,0.651,0.658,0.648
36,Multiple Regression-2,selected features,209712.753,0.652,0.657,0.648
37,MLP Regressor,default,308033.239,0.25,0.261,0.52
38,Polynomial Regression,"degree=3, selected features, no preprocessing",188772.614,0.749,0.722,0.517
39,Multiple Regression-1,selected features,248514.011,0.514,0.519,0.512
40,KNN,"n=10, all features",195619.422,0.764,0.702,0.5
41,KNN,"n=20, all features",198621.347,0.72,0.693,0.492
42,Simple Linear Regression,Square Feet Living,248879.061,0.496,0.479,0.491
43,Decision Tree,"max_depth=2,min_split=5,min_leaf=5",254578.448,0.498,0.495,0.483
44,KNN,"n=30, all features",201123.159,0.701,0.685,0.483
45,Linear SVR,"c=1000, all features",217242.413,0.621,0.632,0.266
46,Polynomial Regression,"degree=3, all features, no preprocessing",189347.227,0.874,0.721,0.204
47,Linear SVR,"c=100, all features",229823.36,0.576,0.589,0.036
48,Linear SVR,"c=10, all features",266206.73,0.434,0.448,-5.724
49,Polynomial Ridge Regression,"alpha=1, degree=2, all features",150177.03,0.838,0.824,-3198.424
50,Polynomial Regression,"degree=2, all features",151471.072,0.84,0.821,-16909.596
